ja,ko,ru,ca,feature_text
History of families of MI or family of myocardial infarction,MI in myocardial infarction MI or the history of family history of family history,Family History of MI or Family History Myocardial Infarction,Family History of Mi or Family History of Myocardium Infarct,Family-history-of-MI-OR-Family-history-of-myocardial-infarction
History of family of thyroid disorder,Family force of thyroid disorder,Family history of thyroid disorder,Family history of thyroid disorder,Family-history-of-thyroid-disorder
Chest pressure,Chest pressure,Chest pressure,Chest pressure,Chest-pressure
Intermittent symptoms,Intermittent symptoms,Intermittent symptoms,Intermittent symptoms,Intermittent-symptoms
Light head,Light,Lighthead.,Light headed,Lightheaded
"Change of hair, nail change and temperature detreability","The hair does not change, or no fingernail change,",No hair changes or there are no changes to nails or no intolerance temperature,There are no changes in hair or nail changes or temperature intolerance,No-hair-changes-OR-no-nail-changes-OR-no-temperature-intolerance
Using AdderAll,Using Adderall,Adderall Use.,Use of Adderall,Adderall-use
Dyspnea,Respiratory difficulty,Dyspnea,Lack of breath,Shortness-of-breath
Cafe in eupur,Caffeine use,Use of caffeine,Using caffeine,Caffeine-use
Heart pounding and heart lace,Heart tapping or heart racing,Heart pounding or cardiac races,Pounding of the heart or heart races,heart-pounding-OR-heart-racing
Period for a few months,A few months,Several months lasting,A few months long,Few-months-duration
17 years old,17 years,17 years,17 years,17-year
Man,male,Male,Male,Male
No vaginal discharge,No vaginal discharge,No vaginal discharge,No Vaginal Downloads,No-vaginal-discharge
Weight loss,Weight loss,Weight loss,Weight loss,Weight-loss
Not sexually active,Do not actually work.,Not sexually active,Not sexually active,Not-sexually-active
Traditional episodes of diarrhea,Previous episode of diarrhea,Previous episodes of diarrhea,Previous episodes of diarrhea,Prior-episodes-of-diarrhea
20-year-old,20 years,20 years,20 years,20-year
There is no movement of the bloody intestine,There is no bloody bowel movement,No bloody intestinal movements,No bloody intestinal movements,No-bloody-bowel-movements
Recurrent match for the past 6 months,Recurring game for the last six months,Recurrent attacks over the past 6 months,Recurring smoked over the past 6 months,Recurrent-bouts-over-past-6-months
Right LQ abdominal pain or lower right quarter pneumatic pain,Right double-sided LQ abdominal pain or right lower quadruple abdominal pain,Right-sided pain in the abdominal cavity or the right lower quadrant of abdominal abdominal pain,Abdominal pain of the face to right or abdominal pain in the lower right quadrant,Right-sided-LQ-abdominal-pain-OR-Right-lower-quadrant-abdominal-pain
There is no urine,There is no urinary tract symptoms,No urinary symptoms,No Urinary Symptoms,No-urinary-symptoms
Appetite decrease,Appetite reduction,Smart appetite,Diminished appetite,Diminished-appetite
Normal LMP 2 weeks ago or regular last menstrual period 2 weeks ago,Top LMP 2 weeks ago or normal last monthly period 2 weeks ago,Normal LMP 2 weeks ago or normal last menstrual period 2 weeks ago,Normal LMP 2 weeks ago or last menstrual period 2 weeks ago,Normal-LMP-2-weeks-ago-OR-Normal-last-menstrual-period-2-weeks-ago
Acute pain for 8-10 hours,Acute pain of 8 to 10 hours,8-10 hours of acute pain,8-10 hours of acute pain,8-to-10-hours-of-acute-pain
woman,Woman,Women,Female,Female
Previous regular period,Previous normal period,Previous Normal Periods,PREVIOUS NORMAL PERIOD,Prior-normal-periods
Last PAP Smear 1 year ago,Last Pap Smear 1 year ago,Last papanin smear 1 year ago,Last Potato Pope 1 year ago,Last-Pap-smear-1-year-ago
i i,IUD,Opinion,Yoke,IUD
Sexually active,Sexual activities,Sexually active,Sexually active,Sexually-active
Vaginal drying,Vaginal,Vaginal dryness,Vaginal dryness,Vaginal-dryness
Irregular menstruation,Irregular Mercury,Irregular menstruation,Irregular menstruations,Irregular-menses
Recent nausea vomiting or recent transparent symptoms,Recent MEZ History Or Recent Flulike Symptoms,Nausea vomiting or recent symptoms flanks,Recent nausea vomiting or recent symptoms,Recent-nausea-vomiting-OR-Recent-flulike-symptoms
There is no menstrual symptom,Normalized symptoms,No premenstrual symptoms,Without premenstrual symptoms,No-premenstrual-symptoms
stress,stress,Stress,Stress,Stress
LMP 2 months ago or last menstrual period 2 months ago,LMP 2 months ago or last monthly period 2 months ago,Lmp 2 months ago or last menstrual period 2 months ago,LMP 2 months ago or last menstrual period 2 months ago,LMP-2-months-ago-or-Last-menstrual-period-2-months-ago
Hospitality,Hot flicker,Hot flaers,Hot flashes,Hot-flashes
Irregular flow or irregular frequency or irregular spacing,Irregular flow or irregular frequency or irregular interval,Irregular streams or irregular frequencies or irregular intervals,Irregular flow or irregular frequency or irregular intervals,Irregular-flow-OR-Irregular-frequency-OR-Irregular-intervals
It develops 3 years ago,I started three years ago,Start 3 years ago,Start 3 years ago,Onset-3-years-ago
Sweaty,Heavy,Heavy sweating,Strong sweating,Heavy-sweating
Sleep disorder or early awakening,Sleep disturbance or initial awakening,Sleep impairment or early awakening,Sleep Alterations or Wake Up First,Sleep-disturbance-OR-Early-awakenings
44 years old,44 years,44 years,44 years,44-year
PUD of digestive ulcer disease or FHX with family history,Family history of pudding's FHX or digestive ulcer disease,FHX PUD or family history of peptic ulcer,Pudd FHX or family history of peptic ulcer disease,FHx-of-PUD-OR-Family-history-of-peptic-ulcer-disease
Good feeling of discomfort,Commission's inconvenience,Epigastric discomfort,Epigastric discomfort,Epigastric-discomfort
Dark intestine movement,Dark bowel,Dark intestinal movements,Darker intestinal movements,Darker-bowel-movements
Use of NSAIDS or use of non-steroidal anti-inflammatory drugs,Using NSAID or non-steroidal anti-inflammatory drugs,Using NSAID or Nonteroidal Anti Inflammatory Use of Drugs,NSAIN or non-steroidal anti-inflammatory consumption,NSAID-use-OR-Nonsteroidal-anti-inflammatory-drug-use
"Combustion, spots, scorching and gnawing","Blowing, gaming, burning, or eating",burn or nibb or burn and nibble,burn or remain or burn and remain,burning-OR-gnawing-OR-burning-and-gnawing
After the bloating and filling with meals,Fringe with meals and fleece or fullness,Publish a swimming bloating of belly or fullness with food,Post swelling or fullness with meals,Post-prandial-bloating-OR-fullness-with-meals
Now get worse or progressive or symptoms every day,It is deteriorated or progressive or symptoms.,deteriorate or progressive or symptoms now daily,worsen or progress or symptoms now,getting-worse-OR-progressive-OR-symptoms-now-daily
2 to 3 beers a week,2 to 3 beer a week,2-3 beers per week,2 to 3 beers a week,2-to-3-beers-a-week
2 months period,Duration 2 months,Duration 2 months,Duration 2 months,duration-2-months
I wake up at night,Waking up at night,Awakened at night,Wake up at night,Awakens-at-night
There is no blood of stool,There is no blood on the chair,No blood in the chair,No blood in feces,No-blood-in-stool
intermittent,Intermittent,Intermittent,Intermittent,Intermittent
Not changed from minimal change in TUMS,Changes in Tums are not minimized,Minimal without change with,Minimum for any change with tums,Minimal-to-no-change-with-Tums
nausea,sickness,Nausea,Nausea,Nausea
35 years,35 years old,35 year,35,35-year
Lack of other thyroid symptoms,Lack of other thyroid symptoms,Lack of other thyroid symptoms,Lack of other symptoms of thyroids,Lack-of-other-thyroid-symptoms
I'm anxious or nervous,Anxious or nervous,Anxious or nervous,anxious or nervous,anxious-OR-nervous
Stress by caring for the elderly,Stress caused by taking care of elderly parents,Stress due to concern for elderly parents,Stress because of the care of older parents,Stress-due-to-caring-for-elderly-parents
Use of heavy caffeine,Caffeine is used a lot,Heavy caffeine uses,Use of heavy caffeine,Heavy-caffeine-use
